iter	Passed	Remaining
0	3	3352
1	8	4288
2	13	4553
3	18	4524
4	22	4529
5	27	4537
6	32	4562
7	36	4544
8	41	4596
9	46	4641
10	51	4651
11	56	4636
12	60	4603
13	65	4586
14	69	4567
15	74	4557
16	78	4554
17	83	4553
18	88	4547
19	92	4539
20	96	4521
21	101	4506
22	105	4482
23	110	4475
24	114	4471
25	119	4471
26	123	4456
27	128	4461
28	133	4463
29	137	4447
30	142	4438
31	146	4431
32	151	4437
33	156	4433
34	161	4450
35	166	4447
36	170	4447
37	175	4445
38	180	4445
39	185	4441
40	189	4442
41	194	4447
42	199	4440
43	204	4436
44	209	4442
45	214	4444
46	219	4447
47	224	4455
48	230	4470
49	235	4473
50	240	4470
51	244	4461
52	249	4453
53	253	4445
54	258	4437
55	263	4439
56	268	4442
57	273	4439
58	277	4431
59	282	4421
60	286	4414
61	291	4405
62	295	4399
63	300	4396
64	305	4393
65	310	4393
66	315	4389
67	319	4382
68	324	4378
69	329	4375
70	334	4373
71	339	4370
72	344	4373
73	349	4379
74	371	4582
75	375	4570
76	380	4561
77	385	4557
78	390	4557
79	396	4557
80	401	4559
81	405	4543
82	410	4540
83	415	4534
84	420	4530
85	425	4526
86	431	4525
87	435	4515
88	439	4500
89	444	4490
90	448	4478
91	452	4465
92	456	4453
93	461	4444
94	465	4438
95	470	4427
96	474	4417
97	478	4406
98	482	4395
99	487	4387
100	492	4381
101	496	4370
102	500	4359
103	504	4347
104	509	4339
105	513	4327
106	516	4313
107	520	4301
108	524	4288
109	528	4276
110	532	4266
111	536	4256
112	540	4244
113	544	4234
114	548	4222
115	552	4212
116	556	4202
117	561	4193
118	565	4184
119	570	4181
120	574	4175
121	578	4165
122	582	4155
123	586	4146
124	590	4135
125	594	4126
126	599	4118
127	603	4110
128	607	4104
129	612	4095
130	616	4087
131	621	4083
132	625	4077
133	629	4067
134	633	4060
135	637	4051
136	642	4044
137	646	4036
138	651	4034
139	656	4032
140	661	4028
141	665	4020
142	670	4017
143	675	4015
144	680	4012
145	685	4007
146	689	4003
147	695	4001
148	699	3992
149	703	3988
150	707	3980
151	711	3969
152	715	3960
153	719	3951
154	723	3942
155	727	3935
156	731	3928
157	736	3923
158	740	3917
159	744	3908
160	748	3899
161	752	3894
162	756	3886
163	760	3878
164	765	3871
165	769	3865
166	773	3858
167	777	3851
168	781	3844
169	786	3840
170	790	3833
171	795	3828
172	799	3823
173	804	3818
174	808	3813
175	813	3807
176	817	3801
